No,Time,Comment,Scramble,Date,P.1
1,19.52,,R U2 B F2 D2 R2 D' B2 F2 L2 U F2 U F2 L F D' R F D F,2021-12-19 10:54:53,19.52
2,18.02,,F U F2 U L2 R2 D' R2 F2 L2 D' L D F' D U' L' D L' B,2021-12-19 10:55:14,18.02
3,18.51,,F R2 F' D2 R U' R2 F U2 F2 B2 L2 B2 U' B2 D' L2 D2 R2 B2 R,2021-12-19 10:55:34,18.51
4,15.27,,L' B2 U L' B D2 F U' R L2 U' L2 B2 U L2 B2 U F2 D R2,2021-12-19 10:55:54,15.27
5,18.51,,R' U' R2 L' U2 R' D B' R' U2 D2 F2 L2 F2 L U2 L U2 F2 U2 B,2021-12-19 10:56:11,18.51
6,17.29,,B R' D' F' D R2 L' F U' L2 F2 U2 F' R2 F' D2 F' D2 R2 L2,2021-12-19 10:56:33,17.29
7,19.26,,R' U D' R F D2 B D U2 F2 L2 U2 D2 F B2 R2 F' R2 F L2,2021-12-19 10:57:00,19.26
8,17.31,,R2 B2 D2 R2 U2 R' D2 R' F2 U2 F2 D' B D L2 U' F2 R' B2 D2,2021-12-19 10:57:21,17.31
9,15.08,,B2 D2 R2 F U2 L2 D2 U2 B2 F' D2 F R' D' L' D2 U R D' L,2021-12-19 10:58:06,15.08
10,20.71,,B F2 U2 F2 U2 R F2 D2 R B2 U2 L2 R B' L U' B F' R B' D,2021-12-19 10:58:22,20.71
11,18.22,,R2 B' R D' L B L U D2 F U2 D2 B R2 B U2 F' U2 F2 R2 L,2021-12-19 10:58:45,18.22
12,17.31,,U2 L D2 L2 B2 U2 L2 U' L2 F2 D L2 D' R B R2 U L' D B' L2,2021-12-19 10:59:04,17.31
13,19.79,,F U L U D2 L2 B' D' F2 L2 U2 D2 F B2 L2 F R2 F' U2 L,2021-12-19 10:59:23,19.79
14,17.05,,F2 D' B U2 B2 L2 U F2 L U2 L2 F R2 B U2 F' U2 R2 U2,2021-12-19 10:59:44,17.05
15,17.35,,D B' L2 B L2 F' L2 U2 B2 D2 F R B L R' F' U L2 F2,2021-12-19 11:00:17,17.35
16,16.73,,L2 U L D F2 U' L2 R2 B2 D' B2 L2 B2 R' F U2 L2 U2 B R',2021-12-19 11:00:36,16.73
17,16.86,,F2 D2 R2 U2 F2 U2 B2 L U2 R' D2 R2 F U L' R B' L B D L,2021-12-19 11:00:54,16.86
18,18.15,,F2 B2 R2 B L D' F' R2 U F' U2 L2 U2 R2 B R2 F' R2 D2 B2 D2,2021-12-19 11:01:12,18.15
19,18.31,,F' U' L2 D' F2 D2 F2 U' R' F2 D L2 F' D U R U2,2021-12-19 11:01:32,18.31
20,19.44,,D2 R2 D' B2 D' F2 L2 D' B2 L2 U' F2 L D B' D L2 F R F' D2,2021-12-19 11:01:51,19.44
21,19.80,,L2 B D2 F' U2 R2 B F2 L2 F R' B2 F' U' L' F U L' D' R2,2021-12-19 11:02:12,19.80
22,15.43,,U R2 F2 D2 U' B2 L2 D' L2 U L2 R F' L2 D B' D2 R D' U',2021-12-19 11:02:33,15.43
23,18.15,,L2 D B2 D2 U' F2 D F2 L2 B D' U' R' F' R2 U2 B' U2,2021-12-19 11:02:50,18.15
24,18.30,,B2 R2 B' U' B2 R2 L' D R B2 L F2 D2 R' F2 R D2 R2 F2 R',2021-12-19 11:03:09,18.30
25,18.22,,B R' L2 F' B U' R F2 D' R2 D' F2 D' R2 D B2 U F R2,2021-12-19 11:03:29,18.22
26,16.98,,L2 R D L2 U L2 D R2 D B2 D2 R U' F' U2 R' D' B2 U,2021-12-19 11:03:48,16.98
27,17.59,,R D2 F2 L F2 R' U2 L B2 R2 U2 B2 F L2 U' B D U B' R F2,2021-12-19 11:04:06,17.59
28,18.55,,L2 U' B R' B L' F' D' F R2 F2 U B2 U R2 F2 U2 R2 B2 U,2021-12-19 11:04:44,18.55
29,16.57,,F B2 D' F2 R2 D' B' R L' B2 L' D2 L' B2 L' U2 F2 R2 D F2,2021-12-19 11:05:10,16.57
30,18.30,,R2 F2 L2 F2 D F2 D' U2 L2 F' L2 D B' D F' L U' R B2,2021-12-19 11:05:28,18.30
31,17.65,,U2 F R B R2 U2 D' L' B' D F2 L2 F2 D2 L2 U L2 U' R2 D' L2,2021-12-19 11:05:52,17.65
32,18.31,,B' U' B' U' F' D' R' F' U2 D R2 F2 U' B2 D B2 L2 B2 R2 U F,2021-12-19 11:06:31,18.31
33,19.80,,R B2 R2 D2 B L D2 L U B' D2 F' D2 R2 B' D2 F R2 U2 F U2,2021-12-19 11:06:50,19.80
34,17.93,,R2 U2 L2 U2 R' U2 F2 L R2 D2 F2 U2 F U R B' L' F U' R2 F2,2021-12-19 11:07:42,17.93
35,19.78,,F' L2 D F' L F U' L' U2 D2 B2 L2 D' L2 D F2 L2 U' L',2021-12-19 11:08:01,19.78
36,19.13,,F2 R2 D2 L R2 B2 R D2 F' L R B' R2 D' F2 D2 F,2021-12-19 11:08:23,19.13
37,17.89,,F' U2 L B2 D' B L F L2 U B2 R2 D2 L2 U2 R2 D B2 L2 U',2021-12-19 11:08:43,17.89
38,17.19,,L2 D2 F2 R2 B R2 F' L2 U2 B2 D2 U B2 R D2 F U L U R U',2021-12-19 11:09:02,17.19
39,12.90,,B2 R' L2 D' F B U2 R' U F2 U' L2 U L2 B2 L2 B2 D' B2 U2,2021-12-19 11:09:25,12.90
40,21.01,,U' F2 U R2 U' R2 D2 R2 F2 L2 F' R' U' R F2 D R U' F,2021-12-19 11:09:39,21.01
41,17.83,,U F L2 D' F2 D' R2 D B2 D2 F2 D2 R F2 D B2 U' R B2,2021-12-19 11:10:01,17.83
42,18.75,,R2 B2 D2 U2 L2 B U2 F R2 U2 B D2 L B' R D L' F' U2 L' U,2021-12-19 11:10:20,18.75
43,16.77,,U' L2 F2 U R2 D2 R2 B2 D L2 U R F2 R2 D F L2 U' L' R' F',2021-12-19 11:10:41,16.77
44,17.79,,F U2 F2 R2 F L' F R B D2 R2 D L2 F2 D2 L2 D B2 U,2021-12-19 11:10:59,17.79
45,18.56,,R2 F U2 F R2 B D2 R2 B' U' F2 R' D' B2 F2 L B' L' F,2021-12-19 11:11:18,18.56
46,19.12,,F' B D' R B2 R2 B F2 R' F2 L U2 B2 R D2 R2 B2 L D2,2021-12-19 11:11:38,19.12
47,17.06,,L' F D2 F2 L U' R' D2 L2 F R2 L2 F' L2 B' L2 B' R2 D',2021-12-19 11:11:58,17.06
48,18.42,,F U B2 R' L2 U2 D' F' B' D2 F2 D2 L2 B' D2 F' L2 D F2,2021-12-19 11:12:17,18.42
49,17.07,,L2 U F' U2 L2 D2 B R2 B' L2 D2 B' L2 F' D B' R2 U' R U2 B2,2021-12-19 11:12:37,17.07
50,18.90,,D2 L2 R' D2 F2 L' D2 F2 D2 L2 B2 R' B' D2 R' B2 D' L F U2 B2,2021-12-19 11:12:55,18.90
