No,Time,Comment,Scramble,Date,P.1
1,15.66,,U' D F' L' D R2 B F2 R2 F2 D' F2 U' R2 F2 R2 D R' L2 U',2021-12-18 20:20:06,15.66
2,11.70,,R2 F' R2 F2 D2 F' U2 F' U2 R2 L B' U R D' L U R D2 U2,2021-12-18 20:20:35,11.70
3,11.25,,L' U' D R2 F' U' B' L2 F' U2 L D2 F2 B2 R' U2 F2 R2 U2 L,2021-12-18 20:21:06,11.25
4,11.51,,R' B' L2 D2 B' R2 D2 F R2 F' L2 B R' U B2 D' L2 R D2 U',2021-12-18 20:21:34,11.51
5,17.32,,L R2 B' L2 B' L2 D2 F' U2 R2 U2 B R' D' B U2 L2 U2 F U',2021-12-18 20:22:08,17.32
6,12.55,,D2 L' R2 B' R2 F D2 F' R2 B D2 L2 R2 U' R2 B' L2 F' L R',2021-12-18 20:22:43,12.55
7,12.07,,R B U R U R2 U F2 L2 F' D2 B' D2 L2 F D2 B U2 D' L',2021-12-18 20:23:09,12.07
8,11.89,,U2 R2 F2 L2 F2 R2 U2 F D2 L2 F' L D' R2 D' L R' B' F U2,2021-12-18 20:23:38,11.89
9,15.63,,R F B2 L' B2 U2 L D2 R B2 L' B2 R D2 U B2 F U' R2 B F',2021-12-18 20:24:12,15.63
10,12.06,,F2 R2 F2 L2 D2 F L2 D2 F' R2 U2 F D F' D2 L F' L' R' B2 U',2021-12-18 20:24:41,12.06
11,13.69,,F' R D U2 R' F2 D2 U2 F2 D2 F2 L2 F2 R' D' L F L B2 U2 R',2021-12-18 20:25:06,13.69
12,12.62,,U L U2 F R2 F' L2 B D2 F D2 L2 R2 D B U2 L' B R2 B R,2021-12-18 20:25:33,12.62
13,14.49,,U R' B2 F2 R D2 L' F2 R' U2 R2 U2 R' B' D' R B' R' D' L' F,2021-12-18 20:26:15,14.49
14,18.26,,D' B2 U2 F' D' F2 B2 D U2 B2 L B2 U2 R2 D2 R L2 B2 L F,2021-12-18 20:27:01,18.26
15,11.12,,U2 B2 L' B2 L2 D2 R U2 R F D2 U' F L B U R' D2 R2,2021-12-18 20:27:44,11.12
16,9.71,,R2 F L2 D2 U2 F L2 B' R2 U2 F2 D R2 D2 R' B' F' U2 F,2021-12-18 20:28:10,9.71
17,13.73,,L2 D B2 U' L' F2 L' R2 D2 B D2 B R2 B2 R2 B D2 L2 D R,2021-12-18 20:28:47,13.73
18,16.06,,F' D F R F' B' D B R B' U2 D2 B U2 B U2 R2 B L2 D2 L2,2021-12-18 20:29:16,16.06
19,18.27,,B' D2 L2 U2 L' D2 L U2 R' D2 F2 U2 R2 U' R U2 B2 F L2 U' B,2021-12-18 20:29:59,18.27
20,16.28,,L B D' B2 U' R2 D F2 U' B2 R2 U' F2 U2 B' R' F' D2 R' B2 D2,2021-12-18 20:30:46,16.28
