No,Time,Comment,Scramble,Date,P.1
1,17.32,,D' F2 D2 U B2 D2 L2 B2 R2 F2 D2 B L' B2 D F2 R2 F2 R' F' L',2021-12-16 20:38:00,17.32
2,11.33,,B' D2 B' R' D R' F U B2 R' U2 L D2 R2 U2 D2 F2 U2 D2 L2,2021-12-16 20:38:39,11.33
3,12.86,,D L D R B L U' B' D2 F2 R2 F L2 F2 U2 R2 D2 L2 U L',2021-12-16 20:39:04,12.86
4,13.13,,F' B2 D2 L2 B2 D' B2 D L2 D' R' D B L2 U L B L D',2021-12-16 20:39:31,13.13
5,15.58,,L B' L' F2 U2 R2 D B2 U' F2 U F2 R2 D' L' R F L R2 D2 B2,2021-12-16 20:40:08,15.58
6,15.22,,B U' L' D' R' F2 R2 L' U' D2 F L2 F2 D2 R2 B' L2 F' U2 F U2,2021-12-16 20:40:42,15.22
7,13.17,,F' D L2 R2 D' B2 D F2 R2 F2 U' B2 R' U R' F2 L' U F,2021-12-16 20:41:14,13.17
8,11.65,,L U L2 F2 D' F2 R2 U2 R2 U' L2 B' R2 U L' D' L' B' L2 D',2021-12-16 20:42:42,11.65
9,15.17,,L' B R F2 B' R L2 D' B' D2 B2 L2 D2 L U2 D2 F2 U2 R' D2,2021-12-16 20:43:05,15.17
10,13.54,,B2 L' U2 R D2 L' F2 L B2 U2 L' R D' F2 D' B U2 L F' D2 B2,2021-12-16 20:43:37,13.54
