No,Time,Comment,Scramble,Date,P.1
1,12.62,,R L2 U B2 D L2 D2 L2 F2 D L2 U' L2 B L2 D L' F2 L R',2021-12-18 20:49:22,12.62
2,11.06,,B' D' U2 F' R2 F2 L2 F2 U2 R2 D2 B D2 L2 D' L' D L' B U2 F',2021-12-18 20:49:51,11.06
3,10.92,,D F2 L2 R2 D' U' L2 F2 D L2 D' B U' L' U' R2 U' F R2 D' L,2021-12-18 20:50:31,10.92
4,10.82,,D' L2 B' R F U' F2 B' L' D' F2 D' F2 B2 U' F2 B2 R2 D' B2 D',2021-12-18 20:51:03,10.82
5,10.95,,B R' F' L2 D2 B R2 F' R2 D2 F' U2 L D B F' D2 U F',2021-12-18 20:51:33,10.95
6,13.92,,D' L2 D2 F R2 F' D2 L2 R2 F D2 R' U' R2 B2 D' F' D2 B',2021-12-18 20:51:59,13.92
7,10.77,,F U B U2 R B' L B' F2 R2 F2 D' B2 U2 D' L2 D B2 U2 F2 R',2021-12-18 20:52:36,10.77
8,11.46,,F2 U2 L2 R D2 R' U2 F2 D2 R' U2 R' B' D U' F' L2 U B' L',2021-12-18 20:53:03,11.46
9,12.03,,F' D2 U2 B U2 F' U2 F' L2 F L2 U' L2 D B2 R' D2 F' U R',2021-12-18 20:53:33,12.03
10,12.59,,F' R2 F U' R D2 B' F2 L2 B2 U2 B2 U' R2 L2 F2 U2 F' L2,2021-12-18 20:53:56,12.59
11,10.47,,L2 U' L B L' F R' F' L2 F R2 U2 F R2 D2 L2 U2 F' U' R',2021-12-18 20:54:27,10.47
12,13.54,,U F' L2 F2 R2 D L2 D F2 U' L2 D' B2 U2 L U2 R D' F R' B',2021-12-18 20:55:13,13.54
13,10.50,,U2 L2 D2 R D2 L' B2 U2 L' D2 L2 F' U' B2 L' U' L2 U2 R' D2,2021-12-18 20:55:47,10.50
14,10.08,,R2 D2 B' L2 F' U2 B2 F U2 B R' F L B D F2 U' L R F2,2021-12-18 20:56:14,10.08
15,12.76,,U L2 F2 D2 R2 U' L2 B2 R2 F2 D F2 R' D2 R B' R2 F' R U R',2021-12-18 20:56:38,12.76
16,14.20,,L D2 B2 U2 L D2 U2 B2 L2 D2 R D F' U R2 U2 B' D2 U' L2,2021-12-18 20:57:03,14.20
17,10.10,,R' F2 U R2 F' D F L B2 U B2 L2 D' L2 F2 U B2 L2 B2 U2,2021-12-18 20:57:40,10.10
18,10.45,,F2 L F2 R' B2 R B2 L D2 F2 U2 R' B D U' B L2 B2 F L' F2,2021-12-18 20:58:09,10.45
19,9.83,,L' D F2 U B2 U B2 U2 B2 U F2 U F' R B' R' U' R2 F' L R',2021-12-18 20:58:40,9.83
20,9.86,,U2 B2 U2 B2 L D2 L2 F2 L2 F2 D2 L2 B' R D' L' R2 D2 R' F U2,2021-12-18 20:59:04,9.86
21,11.89,,B2 F' L2 D2 B2 U2 R2 U2 F' L2 U2 R2 D' B' L B2 F' L' U2 F2 L',2021-12-18 20:59:37,11.89
22,13.91,,L' U2 L2 D' L2 U R2 F2 U B2 U B2 F U L' F R2 B2 D2 L2,2021-12-18 20:59:59,13.91
23,10.93,,B U' R2 U' F2 U B2 D' L2 U' R2 L' B' L F2 U2 F' D' U',2021-12-18 21:00:46,10.93
24,10.39,,B2 U D F' B2 L D B R' F2 L2 D2 R D2 F2 L U2 R' U2,2021-12-18 21:01:25,10.39
25,10.21,,D R' D F2 U B2 U' R2 B2 D2 L2 D2 U' F' D' L2 F' D2 L2 R' U2,2021-12-18 21:02:15,10.21
26,11.38,,L U2 F' U2 L2 R2 F L2 D2 U2 B2 L' U' B' D B2 R D U,2021-12-18 21:02:41,11.38
27,11.61,,B R2 B2 U L' B' R' F D' B2 D L2 F2 B2 D' F2 U B2 U R',2021-12-18 21:03:04,11.61
28,14.00,,F2 U' F2 L2 D L2 D2 F2 U' F2 U' F R' F2 U2 L F U' L' F' D2,2021-12-18 21:03:31,14.00
29,13.33,,R' D L F2 R2 F2 R2 B U2 F' D2 R2 B' U' R B D2 F R' D,2021-12-18 21:04:14,13.33
30,11.26,,U D R2 L2 U2 L B' D' F R U2 L' F2 D2 R U2 R' B2 L F2 L',2021-12-18 21:05:01,11.26
31,13.26,,D2 B D2 R2 F2 L2 B' L2 F U2 B D' R' F' R2 U R B' F,2021-12-18 21:06:16,13.26
32,13.61,,D' U2 B2 D2 F2 R2 U2 F' U2 B' L2 D2 R2 L' F' D' B L2 U' B2 L,2021-12-18 21:06:31,13.61
33,12.17,,L2 B2 U B2 L2 U' R2 B2 F2 D2 B2 L B' D R2 D' F2 U L D,2021-12-18 21:07:00,12.17
34,11.56,,U D B2 U2 B' U' F' L B F2 R2 U L2 D R2 U' R2 U' R2,2021-12-18 21:07:22,11.56
35,14.06,,L' B2 U2 R2 D2 R2 U' R2 F2 L2 B2 D' B2 F R D2 B2 D U2 R' B,2021-12-18 21:07:34,14.06
36,12.18,,F U R2 B2 U' F2 R2 U' F2 D R2 U L B R B2 F D2 L' D2,2021-12-18 21:07:49,12.18
37,13.71,,R2 U2 R2 D2 F2 D B2 L2 F2 L2 D' R U2 L D' U' B' F2 L' F2,2021-12-18 21:08:03,13.71
38,12.98,,B2 L2 B2 D' B2 D' L2 F2 L2 F2 D' B2 R' F' D F' D L U L F,2021-12-18 21:08:17,12.98
39,10.47,,D2 F' R D F' U B L' B' D2 F' R2 B2 L2 U2 F D2 F2 D2 L',2021-12-18 21:08:33,10.47
40,10.57,,L2 D2 F' D2 R2 D2 F2 U2 B' F' D2 U F D' B' L' U2 F R' B D',2021-12-18 21:08:45,10.57
41,13.44,,B' F' D2 B2 U2 R2 F R2 F U2 D L U' B F D2 F2 U' B,2021-12-18 21:08:56,13.44
42,11.79,,U L D R2 U B2 U2 L2 U' L2 B2 U' F L' U F2 R U' R',2021-12-18 21:09:16,11.79
43,12.31,,B2 U F D R L2 D B2 R2 F' R2 U2 B' D2 L2 F R2 U2 F R,2021-12-18 21:09:30,12.31
44,11.18,,U' F L2 R2 D L2 D' R2 F2 L2 U2 B2 D2 B2 R' D' L' B' D2 U' F,2021-12-18 21:09:43,11.18
45,11.18,,R2 F2 R2 U' F2 R2 D' U' B2 U' F2 U' L' F' L' B' D' U F2 L' F',2021-12-18 21:09:56,11.18
46,14.55,,F2 D' F2 R2 U' L2 R2 F2 U' F2 R2 F L' R' B U L2 F' L2 D2 U',2021-12-18 21:10:11,14.55
47,12.02,,L2 R2 F' R2 U2 L2 U2 B L2 F' R2 U2 R U' B' F2 L' F' L F2 D',2021-12-18 21:10:28,12.02
48,13.50,,B2 D B2 U' R2 D2 L2 U' B2 U F2 R U' R' F' R' D R' U2 R2,2021-12-18 21:10:41,13.50
49,11.86,,D2 B R2 U2 F U2 B U2 L2 U2 L2 R2 U' F L' D L2 B' D2 F,2021-12-18 21:10:56,11.86
50,12.19,,L2 U' R2 D2 L2 D R2 B2 U' B2 D' B L2 B U' R2 B L' U' L',2021-12-18 21:11:10,12.19
