No,Time,Comment,Scramble,Date,P.1
1,30.83,,B' D' L B' R L2 U' R B2 R2 U F2 R2 U' R2 D2 F2 U B2,2021-12-18 17:20:47,30.83
2,31.26,,U D L2 B R' U' L F R U2 F R2 B U2 R2 F' B2 D2 B2 L2 U2,2021-12-18 17:22:08,31.26
3,21.01,,F2 R2 U2 L2 D2 B U2 L2 B D2 U2 F' R' F L2 F2 L2 U' B' L B',2021-12-18 17:22:57,21.01
4,31.41,,B2 R' U B L2 D2 F L2 D L2 U' F2 D' L2 B2 D B2 L' F,2021-12-18 17:29:40,31.41
5,32.97,,F2 D2 R2 D' F2 U' R2 F2 R2 F2 D' F L2 R F2 D2 U F2 R2,2021-12-18 17:31:24,32.97
6,30.35,,L' D2 U R' U2 R' D2 U2 R' D2 F2 R F R B' F U' F' D,2021-12-18 17:32:11,30.35
7,32.87,,F R2 U F2 U2 B' U2 L2 U2 B2 D2 B L2 R2 D F2 R' U L F R,2021-12-18 17:33:27,32.87
8,23.50,,U2 F2 R2 F2 U B2 D2 B2 F2 R' F' U2 F D R' D' R D',2021-12-18 17:43:12,23.50
9,27.87,,U2 B' R F U' D2 F D2 R F U2 F D2 F U2 R2 F2 D2 F U2 B,2021-12-18 17:46:08,27.87
10,23.08,,D B2 U' F' B2 L U' L' D2 B2 L U2 L2 D2 B2 D2 R F2 L2 F D2,2021-12-18 17:48:22,23.08
11,23.80,,L F D' L2 U' B2 U' R2 F2 U' L2 R2 B2 R2 L' B' F' R' B2 F' D,2021-12-18 17:51:41,23.80
12,20.16,,F' L B2 L' F2 D2 L' B2 F2 D2 R D' F U' L F' L' R2 B,2021-12-18 17:52:57,20.16
13,28.68,,B' L2 F R2 U2 B' R2 F' L2 U2 B' L' B' D F2 R2 D2 L' R' D,2021-12-18 17:57:31,8.68
14,23.33,,D' R B' D2 B2 R2 F R2 F U2 B2 U2 L B R2 D' F L' U',2021-12-18 17:58:21,23.33
15,23.23,,B F2 D' R2 U' L2 D' B2 L2 D' U2 B' L' U2 R U F2 D B' R,2021-12-18 17:59:14,23.23
16,21.94,,B L U2 R B U' R2 B2 U' F B' U2 R2 L2 B2 D2 L2 F R2,2021-12-18 18:01:51,21.94
17,23.87,,F B2 U' R' F L2 D' B R' U F2 U2 D L2 B2 D F2 U' F2 D2 R2,2021-12-18 18:02:31,23.87
18,21.80,,D2 R2 D B U B2 R' U2 B U2 L' U2 B2 D2 B2 R2 U2 R' B2 L2 U2,2021-12-18 18:03:10,21.80
19,20.30,,R B' L2 U2 B U2 F L2 R2 D2 F R2 F' D' L F R D B' U F2,2021-12-18 18:03:45,20.30
20,15.24,,F D2 L2 F' D2 B D2 R2 B' F2 D2 R B2 U2 B U B D' F' L D,2021-12-18 18:09:43,15.24
21,21.04,,F' L2 B D2 R2 F2 U2 R2 B' F2 D R' B2 L' B F2 L' F' L F2,2021-12-18 18:10:12,21.04
22,26.52,,U' L2 U' F2 L2 F2 L2 D B2 U2 L2 F R2 U F' D' F2 L' F U' F,2021-12-18 18:10:48,26.52
23,20.43,,U2 L D' R B L F' B' R' D2 R2 F2 U R2 B2 U F2 B2 U' R2 B,2021-12-18 18:17:55,20.43
24,26.87,,L2 F L D2 R2 B2 U' L2 B2 F2 D' L2 F2 L' U2 B2 D F' U L',2021-12-18 18:18:32,26.87
25,20.14,,F2 L2 B U2 F' R2 B' L2 B U2 D L' U L2 F R B' U B' U,2021-12-18 18:19:44,20.14
